"components/662cb58d5f555c001145e894/displayTitle/","Questão 6"
"components/662cb58d5f555c001145e894/body/","<p>Qual foi o grande impacto da integração da tecnologia digital na educação?</p>"
"components/662cb58d5f555c001145e894/_items/0/text/","Ela ofereceu flexibilidade e acesso além das restrições geográficas"
"components/662cb58d5f555c001145e894/_items/1/text/","Ela exige mais presença física nas salas de aula"
"components/662cb58d5f555c001145e894/_items/2/text/","Ela limita o acesso à educação"
"components/662cb58d5f555c001145e894/_items/3/text/","Ela reduz a qualidade da educação"
"components/662cb58d5f555c001145e894/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662cb58d5f555c001145e894/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cb58d5f555c001145e894/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cb73d5f555c001145e895/title/","Identifique tarefas que podem ser feitas mais facilmente com as tecnologias digitais"
"components/662cb7e3bafa840011d9c2e5/title/","Questão 1"
"components/662cb7e3bafa840011d9c2e5/displayTitle/","Questão 1"
"components/662cb7e3bafa840011d9c2e5/placeholder/","Por favor, selecione uma opção"
"components/662cb7e3bafa840011d9c2e5/_items/0/text/","Compras de supermercado"
"components/662cb7e3bafa840011d9c2e5/_items/0/_options/0/text/","Você pode fazer compras de supermercado do conforto de sua casa, comparar os preços facilmente, e agendar tempos de entrega práticos."
"components/662cb7e3bafa840011d9c2e5/_items/0/_options/1/text/","Você pode entrar em sua conta de banco online, automatizar os pagamentos de contas mensais, evitar taxas de atraso e economizar o tempo desperdiçado com os pagamentos manuais."
"components/662cb7e3bafa840011d9c2e5/_items/0/_options/2/text/","Você pode usar um aplicativo de plano de refeições para planejar suas refeições semanais, criar listas de compras, e encontrar receitas com base nas preferências de sua dieta."
"components/662cb7e3bafa840011d9c2e5/_items/0/_options/3/text/","Você pode usar os aplicativos de mensagens e vídeo para ver e conversar com seus parentes quando quiser, e onde quer que esteja."
"components/662cb7e3bafa840011d9c2e5/_items/0/_options/4/text/","Você pode usar um aplicativo de orçamento para monitorar seus gastos, criar orçamentos e analisar os hábitos financeiros de sua família."
"components/662cb7e3bafa840011d9c2e5/_items/0/_options/5/text/","Você pode usar o site de uma organização para agendar sua próxima consulta, e receber alertas na hora de ir."
"components/662cb7e3bafa840011d9c2e5/_items/0/_options/6/text/","Você pode usar os sites de busca e as enciclopédias online para encontrar informações úteis, ou até mesmo respostas para questões simples que estão lhe incomodando!"
"components/662cb7e3bafa840011d9c2e5/_items/0/_options/7/text/","Você pode usar os aplicativos de mapa para descobrir onde você está exatamente e obter direções para chegar onde você precisa chegar. Esses aplicativos podem ter atualizações de trânsito em tempo real para que você possa evitar os caminhos mais congestionados."
"components/662cb7e3bafa840011d9c2e5/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662cb7e3bafa840011d9c2e5/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cb7e3bafa840011d9c2e5/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cb8f55f555c001145e896/title/","Questão 2"
"components/662cb8f55f555c001145e896/displayTitle/","Questão 2"
